Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Change,Cummulative change
08-Jan-2016,19522.05,19674.2,19485.05,19598.75,62296951,2367.32,0.98,-0.41
11-Jan-2016,19483.55,19530.85,19275.8,19379.8,68159815,2194.68,-1.12,-1.53
12-Jan-2016,19439.35,19494.6,19234.7,19263.85,98414001,2294.97,-0.60,-2.11
13-Jan-2016,19378.65,19435.5,18819.4,19197.2,112321464,2996.18,-0.35,-2.45
14-Jan-2016,18960.75,19175.6,18823.75,19031.1,83764544,2358.77,-0.87,-3.30
15-Jan-2016,19104.6,19131.2,18505.8,18535.45,81621705,2318.82,-2.60,-5.82
18-Jan-2016,18525.1,18549.85,18004.45,18051.3,100344383,2780.26,-2.61,-8.28
19-Jan-2016,18107.9,18322.75,17986.9,18281.15,82076300,2347.52,1.27,-7.11
20-Jan-2016,18113.6,18113.6,17722.05,17938.05,90538245,2512.36,-1.88,-8.85
21-Jan-2016,18124.2,18224.9,17673.85,17715.55,111800024,2925.07,-1.24,-9.98
22-Jan-2016,17930.85,18151.75,17839.2,18107.35,87753010,2530.71,2.21,-7.99
25-Jan-2016,18256.2,18320.3,18108.3,18124.45,66667634,2164.96,0.09,-7.90
27-Jan-2016,18193.7,18240.3,18050.25,18136.1,92955450,2918.6,0.06,-7.84
28-Jan-2016,18102,18151.1,18040.25,18060.4,114164022,3671.65,-0.42,-8.23
29-Jan-2016,18105.95,18429.9,18098,18399,100839837,3056.65,1.87,-6.51
01-Feb-2016,18498.5,18510.75,18345,18466.15,72072049,2299.89,0.36,-6.17
02-Feb-2016,18507.55,18529.6,18043.45,18098.6,86609540,2793.15,-1.99,-8.04
03-Feb-2016,17925.55,18039.4,17824.3,17859.55,83788400,2586.75,-1.32,-9.25
04-Feb-2016,18050.8,18089.15,17729.3,17858.15,82525994,2656.63,-0.01,-9.26
05-Feb-2016,17931.85,18316.9,17886.55,18269.55,83278934,2793.58,2.30,-7.17
08-Feb-2016,18324.7,18424.6,18189,18219.15,74059581,2180.97,-0.28,-7.42
09-Feb-2016,18061.85,18119.4,17804.9,17824.95,97382591,2626.29,-2.16,-9.43
10-Feb-2016,17781.8,17793.7,17474.55,17585.4,105517547,3320.1,-1.34,-10.64
11-Feb-2016,17540.7,17573.8,16976.3,17028.45,116355073,3168.62,-3.17,-13.47
12-Feb-2016,17151.45,17153.05,16607.8,17031.95,134432912,3528.62,0.02,-13.46
15-Feb-2016,17293.4,17643.15,17293.4,17607.1,104074011,2443.38,3.38,-10.53
16-Feb-2016,17648.1,17679.45,17133.3,17160.8,90001730,2293.38,-2.53,-12.80
17-Feb-2016,17179.3,17267.25,16787.8,17227.6,107415088,2832.34,0.39,-12.46
18-Feb-2016,17398.05,17480.1,17156.5,17323.95,87911924,2207.16,0.56,-11.97
19-Feb-2016,17293.8,17354.15,17192.95,17334.75,78971650,1937.17,0.06,-11.92
22-Feb-2016,17416.15,17473.75,17332.15,17460.1,64780475,1876.81,0.72,-11.28
23-Feb-2016,17503.25,17503.25,17220.9,17258.75,93351125,2351.81,-1.15,-12.30
24-Feb-2016,17198,17208.55,16998,17036.25,95341053,2220.43,-1.29,-13.43
25-Feb-2016,17076.15,17082.95,16920.6,16952.2,131618807,3495.55,-0.49,-13.86
